model,test_days,pred,acc,test_n,test_pos_n,train_n,test_start,test_end,train_years,feature_set,horizon
xgboost-6,1,1.0,0.0,1,0,1225,2025-07-29,2025-07-29,5,initial,5
xgboost-6,1,1.0,0.0,1,0,1225,2025-07-28,2025-07-28,5,initial,5
xgboost-6,1,1.0,0.0,1,0,1225,2025-07-25,2025-07-25,5,initial,5
xgboost-6,1,1.0,0.0,1,0,1225,2025-07-24,2025-07-24,5,initial,5
xgboost-6,1,1.0,1.0,1,1,1225,2025-07-23,2025-07-23,5,initial,5
xgboost-6,1,1.0,1.0,1,1,1225,2025-07-22,2025-07-22,5,initial,5
xgboost-6,1,0.95,1.0,1,1,1225,2025-07-21,2025-07-21,5,initial,5
xgboost-6,1,0.95,1.0,1,1,1225,2025-07-18,2025-07-18,5,initial,5
xgboost-6,1,0.6,1.0,1,1,1225,2025-07-17,2025-07-17,5,initial,5
xgboost-6,1,1.0,1.0,1,1,1225,2025-07-16,2025-07-16,5,initial,5
xgboost-6,1,1.0,1.0,1,1,1225,2025-07-15,2025-07-15,5,initial,5
xgboost-6,1,1.0,1.0,1,1,1225,2025-07-14,2025-07-14,5,initial,5
xgboost-6,1,1.0,1.0,1,1,1225,2025-07-11,2025-07-11,5,initial,5
xgboost-6,1,1.0,1.0,1,1,1225,2025-07-10,2025-07-10,5,initial,5
xgboost-6,1,0.95,1.0,1,1,1225,2025-07-09,2025-07-09,5,initial,5
xgboost-6,1,1.0,1.0,1,1,1225,2025-07-08,2025-07-08,5,initial,5
xgboost-6,1,1.0,1.0,1,1,1225,2025-07-07,2025-07-07,5,initial,5
xgboost-6,1,0.45,1.0,1,0,1225,2025-07-03,2025-07-03,5,initial,5
xgboost-6,1,0.85,1.0,1,1,1225,2025-07-02,2025-07-02,5,initial,5
xgboost-6,1,0.95,1.0,1,1,1225,2025-07-01,2025-07-01,5,initial,5
xgboost-6,1,0.65,1.0,1,1,1225,2025-06-30,2025-06-30,5,initial,5
xgboost-6,1,0.95,1.0,1,1,1225,2025-06-27,2025-06-27,5,initial,5
xgboost-6,1,0.7,1.0,1,1,1225,2025-06-26,2025-06-26,5,initial,5
xgboost-6,1,0.9,1.0,1,1,1225,2025-06-25,2025-06-25,5,initial,5
xgboost-6,1,0.85,1.0,1,1,1225,2025-06-24,2025-06-24,5,initial,5
xgboost-6,1,0.8,1.0,1,1,1225,2025-06-23,2025-06-23,5,initial,5
xgboost-6,1,0.95,1.0,1,1,1225,2025-06-20,2025-06-20,5,initial,5
xgboost-6,1,1.0,1.0,1,1,1225,2025-06-18,2025-06-18,5,initial,5
xgboost-6,1,1.0,1.0,1,1,1225,2025-06-17,2025-06-17,5,initial,5
xgboost-6,1,1.0,1.0,1,1,1225,2025-06-16,2025-06-16,5,initial,5
xgboost-6,1,1.0,1.0,1,1,1225,2025-06-13,2025-06-13,5,initial,5
xgboost-6,1,1.0,0.0,1,0,1225,2025-06-12,2025-06-12,5,initial,5
xgboost-6,1,1.0,0.0,1,0,1225,2025-06-11,2025-06-11,5,initial,5
xgboost-6,1,0.1,1.0,1,0,1225,2025-06-10,2025-06-10,5,initial,5
xgboost-6,1,0.1,0.0,1,1,1225,2025-06-09,2025-06-09,5,initial,5
xgboost-6,1,0.25,1.0,1,0,1225,2025-06-06,2025-06-06,5,initial,5
xgboost-6,1,0.95,1.0,1,1,1225,2025-06-05,2025-06-05,5,initial,5
xgboost-6,1,0.1,0.0,1,1,1225,2025-06-04,2025-06-04,5,initial,5
xgboost-6,1,0.0,0.0,1,1,1225,2025-06-03,2025-06-03,5,initial,5
xgboost-6,1,0.65,1.0,1,1,1225,2025-06-02,2025-06-02,5,initial,5
xgboost-6,1,0.0,0.0,1,1,1225,2025-05-30,2025-05-30,5,initial,5
xgboost-6,1,0.0,0.0,1,1,1225,2025-05-29,2025-05-29,5,initial,5
xgboost-6,1,0.0,0.0,1,1,1225,2025-05-28,2025-05-28,5,initial,5
xgboost-6,1,0.05,0.0,1,1,1225,2025-05-27,2025-05-27,5,initial,5
xgboost-6,1,0.8,1.0,1,1,1225,2025-05-23,2025-05-23,5,initial,5
xgboost-6,1,0.7,1.0,1,1,1225,2025-05-22,2025-05-22,5,initial,5
xgboost-6,1,0.85,1.0,1,1,1225,2025-05-21,2025-05-21,5,initial,5
xgboost-6,1,0.25,1.0,1,0,1225,2025-05-20,2025-05-20,5,initial,5
xgboost-6,1,0.0,1.0,1,0,1225,2025-05-19,2025-05-19,5,initial,5
xgboost-6,1,0.0,1.0,1,0,1225,2025-05-16,2025-05-16,5,initial,5
xgboost-6,1,0.0,1.0,1,0,1225,2025-05-15,2025-05-15,5,initial,5
xgboost-6,1,0.0,1.0,1,0,1225,2025-05-14,2025-05-14,5,initial,5
xgboost-6,1,0.0,0.0,1,1,1225,2025-05-13,2025-05-13,5,initial,5
xgboost-6,1,0.0,0.0,1,1,1225,2025-05-12,2025-05-12,5,initial,5
xgboost-6,1,1.0,1.0,1,1,1225,2025-05-09,2025-05-09,5,initial,5
xgboost-6,1,0.95,1.0,1,1,1225,2025-05-08,2025-05-08,5,initial,5
xgboost-6,1,1.0,1.0,1,1,1225,2025-05-07,2025-05-07,5,initial,5
xgboost-6,1,1.0,1.0,1,1,1225,2025-05-06,2025-05-06,5,initial,5
xgboost-6,1,1.0,1.0,1,1,1225,2025-05-05,2025-05-05,5,initial,5
xgboost-6,1,1.0,0.0,1,0,1225,2025-05-02,2025-05-02,5,initial,5
xgboost-6,1,0.85,1.0,1,1,1225,2025-05-01,2025-05-01,5,initial,5
xgboost-6,1,0.95,1.0,1,1,1225,2025-04-30,2025-04-30,5,initial,5
xgboost-6,1,0.25,0.0,1,1,1225,2025-04-29,2025-04-29,5,initial,5
xgboost-6,1,0.0,0.0,1,1,1225,2025-04-28,2025-04-28,5,initial,5
xgboost-6,1,0.0,0.0,1,1,1225,2025-04-25,2025-04-25,5,initial,5
xgboost-6,1,0.0,0.0,1,1,1225,2025-04-24,2025-04-24,5,initial,5
xgboost-6,1,0.0,0.0,1,1,1225,2025-04-23,2025-04-23,5,initial,5
xgboost-6,1,0.3,0.0,1,1,1225,2025-04-22,2025-04-22,5,initial,5
xgboost-6,1,0.6,1.0,1,1,1225,2025-04-21,2025-04-21,5,initial,5
xgboost-6,1,0.4,0.0,1,1,1225,2025-04-17,2025-04-17,5,initial,5
