run,model,test_days,pred,acc,test_n,test_pos_n,test_neg_n,test_pos_frac,test_neg_frac,train_n,train_start,train_end,test_start,test_end,train_years,n_features,pi_size,min_feats,feature_set,horizon
6,xgboost-2,1,0.3,1.0,1,0,1,0.0,1.0,1225,2021-02-22,2026-01-06,2026-01-09,2026-01-09,5,12,0.33,12,baseline,2
6,xgboost-2,1,0.0,1.0,1,0,1,0.0,1.0,1225,2021-02-22,2026-01-06,2026-01-09,2026-01-09,5,6,0.67,6,baseline,2
6,xgboost-2,1,0.1,1.0,1,0,1,0.0,1.0,1225,2021-02-22,2026-01-06,2026-01-09,2026-01-09,5,8,0.67,8,baseline,2
6,xgboost-2,1,0.05,1.0,1,0,1,0.0,1.0,1225,2021-02-22,2026-01-06,2026-01-09,2026-01-09,5,12,0.67,12,baseline,2
6,xgboost-2,1,0.55,0.0,1,0,1,0.0,1.0,1225,2021-02-22,2026-01-06,2026-01-09,2026-01-09,5,6,1.0,6,baseline,2
6,xgboost-2,1,0.05,1.0,1,0,1,0.0,1.0,1225,2021-02-22,2026-01-06,2026-01-09,2026-01-09,5,8,1.0,8,baseline,2
6,xgboost-2,1,0.4,1.0,1,0,1,0.0,1.0,1225,2021-02-22,2026-01-06,2026-01-09,2026-01-09,5,12,1.0,12,baseline,2
7,xgboost-2,1,0.85,1.0,1,1,0,1.0,0.0,1225,2021-02-19,2026-01-05,2026-01-08,2026-01-08,5,6,0.33,6,baseline,2
7,xgboost-2,1,1.0,1.0,1,1,0,1.0,0.0,1225,2021-02-19,2026-01-05,2026-01-08,2026-01-08,5,8,0.33,8,baseline,2
7,xgboost-2,1,0.55,1.0,1,1,0,1.0,0.0,1225,2021-02-19,2026-01-05,2026-01-08,2026-01-08,5,12,0.33,12,baseline,2
7,xgboost-2,1,0.8,1.0,1,1,0,1.0,0.0,1225,2021-02-19,2026-01-05,2026-01-08,2026-01-08,5,6,0.67,6,baseline,2
7,xgboost-2,1,0.95,1.0,1,1,0,1.0,0.0,1225,2021-02-19,2026-01-05,2026-01-08,2026-01-08,5,8,0.67,8,baseline,2
7,xgboost-2,1,0.8,1.0,1,1,0,1.0,0.0,1225,2021-02-19,2026-01-05,2026-01-08,2026-01-08,5,12,0.67,12,baseline,2
7,xgboost-2,1,0.8,1.0,1,1,0,1.0,0.0,1225,2021-02-19,2026-01-05,2026-01-08,2026-01-08,5,6,1.0,6,baseline,2
7,xgboost-2,1,0.15,0.0,1,1,0,1.0,0.0,1225,2021-02-19,2026-01-05,2026-01-08,2026-01-08,5,8,1.0,8,baseline,2
7,xgboost-2,1,0.5,1.0,1,1,0,1.0,0.0,1225,2021-02-19,2026-01-05,2026-01-08,2026-01-08,5,12,1.0,12,baseline,2
8,xgboost-2,1,0.8,1.0,1,1,0,1.0,0.0,1225,2021-02-18,2026-01-02,2026-01-07,2026-01-07,5,6,0.33,6,baseline,2
8,xgboost-2,1,0.85,1.0,1,1,0,1.0,0.0,1225,2021-02-18,2026-01-02,2026-01-07,2026-01-07,5,8,0.33,8,baseline,2
8,xgboost-2,1,1.0,1.0,1,1,0,1.0,0.0,1225,2021-02-18,2026-01-02,2026-01-07,2026-01-07,5,12,0.33,12,baseline,2
8,xgboost-2,1,0.8,1.0,1,1,0,1.0,0.0,1225,2021-02-18,2026-01-02,2026-01-07,2026-01-07,5,6,0.67,6,baseline,2
8,xgboost-2,1,1.0,1.0,1,1,0,1.0,0.0,1225,2021-02-18,2026-01-02,2026-01-07,2026-01-07,5,8,0.67,8,baseline,2
8,xgboost-2,1,1.0,1.0,1,1,0,1.0,0.0,1225,2021-02-18,2026-01-02,2026-01-07,2026-01-07,5,12,0.67,12,baseline,2
8,xgboost-2,1,0.8,1.0,1,1,0,1.0,0.0,1225,2021-02-18,2026-01-02,2026-01-07,2026-01-07,5,6,1.0,6,baseline,2
8,xgboost-2,1,0.95,1.0,1,1,0,1.0,0.0,1225,2021-02-18,2026-01-02,2026-01-07,2026-01-07,5,8,1.0,8,baseline,2
8,xgboost-2,1,1.0,1.0,1,1,0,1.0,0.0,1225,2021-02-18,2026-01-02,2026-01-07,2026-01-07,5,12,1.0,12,baseline,2
9,xgboost-2,1,0.8,0.0,1,0,1,0.0,1.0,1225,2021-02-17,2025-12-31,2026-01-06,2026-01-06,5,6,0.33,6,baseline,2
9,xgboost-2,1,0.95,0.0,1,0,1,0.0,1.0,1225,2021-02-17,2025-12-31,2026-01-06,2026-01-06,5,8,0.33,8,baseline,2
9,xgboost-2,1,1.0,0.0,1,0,1,0.0,1.0,1225,2021-02-17,2025-12-31,2026-01-06,2026-01-06,5,12,0.33,12,baseline,2
9,xgboost-2,1,0.85,0.0,1,0,1,0.0,1.0,1225,2021-02-17,2025-12-31,2026-01-06,2026-01-06,5,6,0.67,6,baseline,2
9,xgboost-2,1,0.95,0.0,1,0,1,0.0,1.0,1225,2021-02-17,2025-12-31,2026-01-06,2026-01-06,5,8,0.67,8,baseline,2
9,xgboost-2,1,0.9,0.0,1,0,1,0.0,1.0,1225,2021-02-17,2025-12-31,2026-01-06,2026-01-06,5,12,0.67,12,baseline,2
9,xgboost-2,1,0.65,0.0,1,0,1,0.0,1.0,1225,2021-02-17,2025-12-31,2026-01-06,2026-01-06,5,6,1.0,6,baseline,2
9,xgboost-2,1,0.15,1.0,1,0,1,0.0,1.0,1225,2021-02-17,2025-12-31,2026-01-06,2026-01-06,5,8,1.0,8,baseline,2
9,xgboost-2,1,0.75,0.0,1,0,1,0.0,1.0,1225,2021-02-17,2025-12-31,2026-01-06,2026-01-06,5,12,1.0,12,baseline,2
10,xgboost-2,1,0.6,1.0,1,1,0,1.0,0.0,1225,2021-02-16,2025-12-30,2026-01-05,2026-01-05,5,6,0.33,6,baseline,2
10,xgboost-2,1,0.7,1.0,1,1,0,1.0,0.0,1225,2021-02-16,2025-12-30,2026-01-05,2026-01-05,5,8,0.33,8,baseline,2
10,xgboost-2,1,1.0,1.0,1,1,0,1.0,0.0,1225,2021-02-16,2025-12-30,2026-01-05,2026-01-05,5,12,0.33,12,baseline,2
10,xgboost-2,1,0.25,0.0,1,1,0,1.0,0.0,1225,2021-02-16,2025-12-30,2026-01-05,2026-01-05,5,6,0.67,6,baseline,2
